SurveyKey,ClientKey,SurveyMode
29615257,5,Paper
29615267,5,Paper
29615290,7,Paper
29615440,1,Paper
29615514,9,Paper
29615539,5,Paper
29615686,1,Paper
29615687,8,Paper
29615688,8,Paper
29615730,1,Paper
29615964,5,Paper
29615971,8,Paper
29615972,8,Paper
29615979,5,Paper
29616037,10,Paper
29616483,10,Paper
29616928,6,Paper
29617295,4,Paper
29617303,7,Paper
29617330,8,Paper
29617351,6,Paper
29617352,6,Paper
29617574,5,Paper
29617603,5,Paper
29617627,6,Paper
29617665,6,Paper
29617667,6,Paper
29617668,5,Paper
29617669,3,Paper
29618165,9,Paper
29618273,5,Paper
29618277,10,Paper
29618632,9,Paper
29618633,9,Paper
29618683,7,Paper
29618688,5,Paper
29618774,5,Paper
29618775,2,Paper
29618781,3,Paper
29618818,5,Paper
29618819,5,Paper
29618820,5,Paper
29618827,2,Paper
29618838,3,Paper
29618858,7,Paper
29618879,5,Paper
29618880,5,Paper
29618928,6,Paper
29618929,5,Paper
29618933,6,Paper
29618935,5,Paper
29618946,3,Paper
29618964,8,Paper
29618965,8,Paper
29618993,1,Paper
29619019,6,Paper
29619062,6,Paper
29619063,6,Paper
29619065,6,Paper
29619337,7,Paper
29619347,2,Paper
29619370,9,Paper
29619542,6,Paper
29619637,9,Paper
29619670,10,Paper
29619816,6,Paper
29619817,6,Paper
29619822,6,Paper
29619836,6,Paper
29619867,3,Paper
29619908,9,Paper
29619924,9,Paper
29619944,1,Paper
29620058,5,Paper
29620077,10,Paper
29620091,8,Paper
29620111,8,Paper
29620112,8,Paper
29620199,7,Paper
29620431,3,Paper
29620436,6,Paper
29620438,7,Paper
29620440,7,Paper
29620483,9,Paper
29620489,7,Paper
29620494,7,Paper
29620495,5,Paper
29620727,2,Paper
29620821,10,Paper
29620824,10,Paper
29620826,10,Paper
29620831,10,Paper
29620832,10,Paper
29620833,10,Paper
29620834,10,Paper
29620845,3,Paper
29620858,4,Paper
29620929,4,Paper
29620987,6,Paper
29621034,3,Paper
29621035,3,Paper
29621056,1,Paper
29621070,9,Paper
29621081,9,Paper
29621096,9,Paper
29621309,9,Paper
29621469,4,Paper
29621490,8,Paper
29621995,5,Paper
29622019,3,Paper
29622389,9,Paper
29622402,9,Paper
29622425,10,Paper
29622482,8,Paper
29622522,9,Paper
29622600,4,Paper
29622769,1,Paper
29622794,9,Paper
29622795,9,Paper
29623108,10,Paper
29623109,10,Paper
29623175,10,Paper
29623176,10,Paper
29623428,10,Paper
29623506,4,Paper
29623636,6,Paper
29623665,8,Paper
29623799,1,Paper
29624205,2,Paper
29624349,1,Paper
29624558,10,Paper
29624583,6,Paper
29624595,9,Paper
29624634,3,Paper
29624672,10,Paper
29624683,10,Paper
29624684,10,Paper
29624907,10,Paper
29624915,10,Paper
29624916,10,Paper
29624919,3,Paper
29625028,4,Paper
29625093,8,Paper
29625166,5,Paper
29625203,1,Paper
29625247,1,Paper
29625248,1,Paper
29625270,5,Paper
29625331,5,Paper
29625411,1,Paper
29625501,1,Paper
29625502,1,Paper
29625582,10,Paper
29625773,6,Paper
29625774,6,Paper
29625777,5,Internet
29625782,1,Paper
29625791,4,Paper
29625792,4,Paper
29625921,10,Paper
29626225,2,Paper
29626834,2,Paper
29626879,9,Paper
29626885,4,Paper
29627228,10,Paper
29627231,10,Paper
29627304,10,Paper
29627466,7,Paper
29627470,10,Paper
29627516,3,Paper
29627682,10,Paper
29627983,9,Paper
29628249,1,Paper
29628405,4,Paper
29628469,10,Paper
29628565,1,Paper
29628566,1,Paper
29628567,1,Paper
29628568,1,Paper
29628580,5,Paper
29628766,5,Paper
29628811,5,Paper
29628815,2,Paper
29629519,10,Paper
29629521,8,Paper
29629617,5,Paper
29629839,4,Paper
29629871,6,Paper
29629881,1,Paper
29629886,8,Paper
29629895,8,Paper
29629897,8,Paper
29629898,8,Paper
29629955,8,Paper
29629956,8,Paper
29629957,8,Paper
29629958,8,Paper
29630030,5,Paper
29630061,8,Paper
29630097,4,Paper
29630098,4,Paper
29630099,4,Paper
29630124,2,Paper
29630130,10,Paper
29630217,10,Paper
29630277,10,Paper
29630406,8,Paper
29630428,10,Paper
29630499,9,Paper
29630515,9,Paper
29630524,9,Paper
29630613,9,Paper
29630655,10,Paper
29630658,9,Paper
29630664,9,Paper
29630682,9,Paper
29630683,9,Paper
29630798,6,Paper
29630891,6,Paper
29630929,10,Paper
29630931,1,Paper
29630950,9,Paper
29630956,4,Paper
29630958,4,Paper
29630976,8,Paper
29630977,8,Paper
29631196,4,Paper
29631198,4,Paper
29631199,4,Paper
29631331,3,Paper
29631336,4,Paper
29631337,4,Paper
29631453,10,Paper
29631493,8,Paper
29631544,8,Paper
29631568,8,Paper
29631580,8,Paper
29631804,4,Paper
29631805,4,Paper
29631806,4,Paper
29631807,4,Paper
29631808,4,Paper
29631809,4,Paper
29631810,4,Paper
29631907,8,Paper
29631911,9,Paper
29632599,3,Paper
29632647,9,Paper
29633620,6,Paper
29633939,10,Paper
29633981,8,Paper
29634093,1,Paper
29634094,1,Paper
29634138,9,Paper
29634189,4,Paper
29634196,9,Paper
29634221,8,Paper
29634222,8,Paper
29634224,8,Paper
29634314,9,Paper
29634329,8,Paper
29634463,10,Paper
29634995,8,Paper
29634996,8,Paper
29634997,8,Paper
29635202,10,Paper
29635224,4,Paper
29635496,9,Paper
29635642,10,Paper
29635650,10,Paper
29635716,10,Paper
29635746,8,Paper
29635755,9,Paper
29635771,8,Paper
29635870,8,Paper
29635949,10,Paper
29635962,10,Paper
29636184,10,Paper
29636628,1,Paper
29636645,5,Paper
29636924,1,Paper
29636938,6,Paper
29636958,9,Paper
29636959,9,Paper
29636965,7,Paper
29636970,6,Paper
29637045,4,Paper
29637046,4,Paper
29637122,8,Paper
29637139,10,Paper
29637180,9,Paper
29637215,10,Paper
29637227,4,Paper
29637396,8,Paper
29637488,9,Paper
29637536,9,Paper
29637751,5,Paper
29637758,1,Paper
29637759,1,Paper
29637760,1,Paper
29637761,1,Paper
29637762,7,Paper
29637763,7,Paper
29637770,3,Paper
29637778,5,Paper
29637782,7,Paper
29637783,7,Paper
29637784,7,Paper
29637785,7,Paper
29637792,3,Paper
29637818,1,Paper
29637834,5,Paper
29637882,2,Paper
29637883,2,Paper
29637884,2,Paper
29637886,2,Paper
29637887,2,Paper
29637888,2,Paper
29637895,3,Paper
29637915,1,Paper
29637916,1,Paper
29637917,1,Paper
29637918,1,Paper
29637919,1,Paper
29637923,7,Paper
29637924,3,Paper
29637929,5,Paper
29637933,2,Paper
29637934,2,Paper
29637941,3,Paper
29638037,1,Paper
29638139,6,Paper
29638142,8,Paper
29638143,8,Paper
29638155,2,Paper
29638156,2,Paper
29638157,2,Paper
29638158,2,Paper
29638159,2,Paper
29638166,3,Paper
29638168,3,Paper
29638227,7,Paper
29638241,3,Paper
29638242,3,Paper
29638268,1,Paper
29638269,1,Paper
29638271,1,Paper
29638296,3,Paper
29638341,8,Paper
29638400,1,Paper
29638410,2,Paper
29638512,1,Paper
29638513,1,Paper
29638514,1,Paper
29638563,1,Paper
29638566,7,Paper
29638572,5,Paper
29638573,5,Paper
29638576,5,Paper
29638607,6,Paper
29638608,5,Paper
29638650,1,Paper
29638651,1,Paper
29638683,2,Paper
29638699,1,Paper
29638741,7,Paper
29638764,5,Paper
29638766,1,Paper
29638768,7,Paper
29638773,3,Paper
29638785,2,Paper
29638787,2,Paper
29638788,2,Paper
29638913,5,Paper
29638945,2,Paper
29638946,2,Paper
29639241,10,Paper
29639248,8,Paper
29639249,8,Paper
29639273,8,Paper
29639274,8,Paper
29639368,6,Paper
29639384,3,Paper
29639386,1,Paper
29639393,5,Paper
29639401,6,Paper
29639405,7,Paper
29639411,7,Paper
29639412,7,Paper
29639420,6,Paper
29639421,5,Paper
29639422,5,Paper
29639431,7,Paper
29639436,5,Paper
29639498,6,Paper
29639564,8,Paper
29639582,2,Paper
29639666,7,Paper
29639695,5,Paper
29639704,1,Paper
29639705,1,Paper
29639730,3,Paper
29639731,3,Paper
29639757,8,Paper
29639769,2,Paper
29639777,3,Paper
29639778,3,Paper
29639779,3,Paper
29639804,7,Paper
29639813,5,Paper
29639944,1,Paper
29639945,1,Paper
29639947,8,Paper
29639948,8,Paper
29639999,5,Paper
29640006,5,Paper
29640029,1,Paper
29640030,1,Paper
29640049,2,Paper
29640050,2,Paper
29640067,5,Paper
29640083,5,Paper
29640101,5,Paper
29640109,6,Paper
29640116,7,Paper
29640131,7,Paper
29640197,2,Paper
29640199,2,Paper
29640201,2,Paper
29640202,2,Paper
29640203,2,Paper
29640206,2,Paper
29640207,2,Paper
29640267,5,Paper
29640282,5,Paper
29640658,5,Paper
29640669,6,Paper
29640700,4,Paper
29641045,10,Paper
29641118,10,Paper
29641119,10,Paper
29641120,10,Paper
29641529,6,Paper
29641714,6,Paper
29641734,6,Paper
29641783,6,Paper
29641854,8,Paper
29641864,5,Paper
29641896,4,Paper
29641910,8,Paper
29641911,8,Paper
29641912,8,Paper
29642158,6,Paper
29642280,10,Paper
29642285,10,Paper
29642470,8,Paper
29642634,5,Paper
29642635,5,Paper
29642636,5,Paper
29642643,7,Paper
29642660,5,Paper
29642663,7,Paper
29642780,10,Paper
29642833,8,Paper
29642975,6,Paper
29642991,7,Paper
29643001,2,Paper
29643003,2,Paper
29643005,2,Paper
29643382,10,Paper
29643426,9,Paper
29643451,1,Paper
29643453,8,Paper
29643456,8,Paper
29643781,1,Paper
29643782,1,Paper
29643787,7,Paper
29643798,5,Paper
29643806,2,Paper
29643807,2,Paper
29644139,5,Paper
29644149,1,Paper
29644173,5,Paper
29644174,5,Paper
29644175,5,Paper
29644176,5,Paper
29644381,5,Paper
29644399,7,Paper
29644405,6,Paper
29644413,7,Paper
29644419,5,Paper
29644422,5,Paper
29644428,5,Paper
29644429,5,Paper
29644430,5,Paper
29644432,2,Paper
29644434,3,Paper
29644442,3,Paper
29644928,7,Paper
29644937,5,Paper
29645099,10,Paper
29645128,6,Paper
29645141,5,Paper
29645270,1,Paper
29645345,1,Paper
29645369,9,Paper
29645420,10,Paper
29645496,10,Paper
29645498,10,Paper
29645506,10,Paper
29645618,7,Paper
29645623,7,Paper
29645624,8,Paper
29645630,5,Paper
29645641,6,Paper
29645648,3,Paper
29645690,5,Paper
29645745,9,Paper
29645746,9,Paper
29645759,9,Paper
29645816,9,Paper
29645833,9,Paper
29646299,5,Paper
29646457,4,Paper
29646797,8,Paper
29647298,6,Paper
29647741,6,Paper
29648069,10,Paper
29648195,10,Paper
29648364,9,Paper
29648370,1,Paper
29649654,10,Paper
29649723,1,Paper
29649762,6,Paper
29650459,9,Paper
29650716,9,Paper
29650721,6,Paper
29650737,8,Paper
29650782,3,Paper
29650803,8,Paper
29650824,10,Paper
29651083,6,Paper
29651084,3,Paper
29651120,6,Paper
29651407,2,Paper
29651526,10,Paper
29652122,6,Paper
29652153,10,Paper
29652189,5,Paper
29652273,1,Paper
29652293,9,Paper
29652294,9,Paper
29652295,9,Paper
29652297,9,Paper
29652313,9,Paper
29652314,9,Paper
29652315,9,Paper
29652363,9,Paper
29652580,3,Paper
29652594,6,Paper
29652613,6,Paper
29652619,6,Paper
29652624,6,Paper
29652671,2,Paper
29652712,9,Paper
29652728,9,Paper
29653010,9,Paper
29653039,3,Paper
29653063,7,Paper
29653064,7,Paper
29653180,5,Paper
29653196,7,Paper
29653204,6,Paper
29653205,6,Paper
29653239,9,Paper
29653707,10,Paper
29653713,6,Paper
29653822,7,Paper
29653825,6,Paper
29653859,5,Paper
29653915,3,Internet
29654193,10,Paper
29654200,10,Paper
29654328,10,Paper
29654347,9,Paper
29654380,6,Paper
29654760,7,Paper
29654896,3,Paper
29654915,5,Paper
29654919,7,Paper
29654920,5,Paper
29654924,2,Paper
29654937,3,Paper
29654955,4,Paper
29655099,10,Paper
29655103,10,Paper
29655104,10,Paper
29655175,7,Paper
29655190,7,Paper
29655192,7,Paper
29655250,3,Paper
29655266,9,Paper
29655277,9,Paper
29655291,2,Paper
29655294,6,Paper
29655313,4,Paper
29655339,8,Paper
29655414,1,Paper
29655415,1,Paper
29655455,3,Paper
29655564,5,Paper
29655760,1,Paper
29655826,7,Paper
29655871,10,Paper
29656041,1,Paper
29656072,10,Paper
29656073,10,Paper
29656103,4,Paper
29656199,1,Paper
29656494,7,Paper
29656497,7,Paper
29656507,2,Paper
29656509,2,Paper
29656577,2,Paper
29656578,2,Paper
29656579,2,Paper
29656580,2,Paper
29656636,1,Paper
29656637,1,Paper
29656639,1,Paper
29656666,3,Paper
29656709,2,Paper
29656710,2,Paper
29656770,8,Paper
29656837,3,Paper
29656854,3,Paper
29656922,10,Paper
29656927,10,Paper
29657166,10,Paper
29657230,1,Paper
29657325,8,Paper
29657327,8,Paper
29657367,3,Paper
29657608,8,Paper
29657885,8,Paper
29657886,8,Paper
29658032,6,Paper
29658034,6,Paper
29658037,10,Paper
29658493,4,Paper
29658619,6,Paper
29658671,9,Paper
29658678,9,Paper
29658680,6,Paper
29658687,6,Paper
29658689,9,Paper
29658704,9,Paper
29658706,9,Paper
29658712,6,Paper
29658997,8,Paper
29658998,8,Paper
29659016,2,Paper
29659017,2,Paper
29659018,2,Paper
29659064,9,Paper
29659068,9,Paper
29659069,9,Paper
29659071,9,Paper
29659079,5,Paper
29659800,3,Paper
29659838,6,Paper
29659839,6,Paper
29660136,4,Paper
29660137,4,Paper
29660138,4,Paper
29660139,4,Paper
29660142,7,Paper
29660156,8,Paper
29660178,6,Paper
29660179,6,Paper
29660596,6,Paper
29660674,6,Paper
29660686,7,Paper
29660687,7,Paper
29660688,7,Paper
29660822,8,Paper
29660847,8,Paper
29661299,9,Paper
29661368,9,Paper
29661369,9,Paper
29661377,9,Paper
29661605,3,Paper
29661662,9,Paper
29661676,9,Paper
29661694,5,Paper
29661704,5,Paper
29661705,5,Paper
29661712,7,Paper
29661713,7,Paper
29661714,7,Paper
29661724,3,Paper
29661744,5,Paper
29661771,5,Paper
29661772,5,Paper
29661784,5,Paper
29661786,2,Paper
29661793,3,Paper
29661820,7,Paper
29661834,5,Paper
29661911,1,Paper
29661912,1,Paper
29661913,1,Paper
29661914,1,Paper
29661915,1,Paper
29661916,1,Paper
29661917,1,Paper
29661918,1,Paper
29661925,6,Paper
29662006,7,Paper
29662043,2,Paper
29662047,6,Paper
29662288,5,Paper
29662289,5,Paper
29662298,5,Paper
29662305,3,Paper
29662306,3,Paper
29662347,3,Paper
29662443,6,Paper
29662485,5,Paper
29662492,3,Paper
29662536,5,Paper
29662549,5,Paper
29662570,3,Paper
29662571,3,Paper
29662572,3,Paper
29662621,7,Paper
29662720,1,Paper
29662721,1,Paper
29662784,9,Paper
29662812,9,Paper
29662920,1,Paper
29662929,6,Paper
29662945,5,Paper
29662946,5,Paper
29663193,4,Paper
29663194,4,Paper
29663195,4,Paper
29663198,4,Paper
29663212,4,Paper
29663227,2,Paper
29663339,6,Paper
29663404,6,Paper
29663406,6,Paper
29663434,6,Paper
29663435,6,Paper
29663438,5,Paper
29663443,10,Paper
29663638,2,Paper
29663639,2,Paper
29663778,3,Paper
29663807,6,Paper
29663862,8,Paper
29664889,4,Paper
29664926,10,Paper
29664962,8,Paper
29665015,1,Paper
29665016,1,Paper
29665017,7,Paper
29665042,7,Paper
29665043,7,Paper
29665045,5,Paper
29665046,5,Paper
29665060,3,Paper
29665071,9,Paper
29665072,9,Paper
29665073,9,Paper
29665077,9,Paper
29665078,9,Paper
29665091,9,Paper
29665092,9,Paper
29665187,6,Paper
29665205,6,Paper
29665206,6,Paper
29665207,5,Paper
29665208,5,Paper
29665209,5,Paper
29665229,3,Paper
29665230,3,Paper
29665231,3,Paper
29665522,5,Paper
29665527,5,Paper
29665528,6,Paper
29665531,1,Paper
29665552,5,Paper
29665553,5,Paper
29665558,5,Paper
29665561,2,Paper
29665570,3,Paper
29665571,3,Paper
29665663,9,Paper
29665772,10,Paper
29665834,10,Paper
29665835,1,Paper
29665869,9,Paper
29665870,9,Paper
29665871,9,Paper
29665921,5,Paper
29665944,1,Paper
29665945,1,Paper
29665946,1,Paper
29665947,1,Paper
29665979,3,Paper
29665980,3,Paper
29665981,3,Paper
29665982,3,Paper
29666129,7,Paper
29666130,8,Paper
29666131,3,Paper
29666137,5,Paper
29666292,8,Paper
29666306,8,Paper
29666483,4,Paper
29666484,4,Paper
29666485,4,Paper
29666684,8,Paper
29666698,8,Paper
29666700,8,Paper
29666753,10,Paper
29666851,5,Paper
29667198,9,Paper
29667199,9,Paper
29667215,9,Paper
29667392,10,Paper
29667479,4,Paper
29667480,4,Paper
29667621,4,Paper
29667622,4,Paper
29667623,4,Paper
29667624,4,Paper
29668039,4,Paper
29668040,4,Paper
29668041,4,Paper
29668042,4,Paper
29668065,8,Paper
29668066,8,Paper
29668143,5,Paper
29668468,7,Paper
29668539,4,Paper
29668540,4,Paper
29668541,4,Paper
29668542,4,Paper
29668543,4,Paper
29668544,4,Paper
29668545,4,Paper
29668553,4,Paper
29668865,10,Paper
29669526,6,Paper
29669576,5,Paper
29669658,9,Paper
29670012,9,Paper
29670542,10,Paper
29670579,8,Paper
29670996,8,Paper
29670997,8,Paper
29671100,1,Paper
29671101,1,Paper
29671102,1,Paper
29671111,5,Paper
29671148,1,Paper
29671149,1,Paper
29671168,5,Paper
29671192,10,Paper
29671284,4,Paper
29671665,6,Paper
29671673,3,Paper
29671708,10,Paper
29671738,9,Paper
29672437,6,Paper
29672541,6,Paper
29672643,9,Paper
29672655,9,Paper
29672738,8,Paper
29672857,4,Paper
29672992,8,Paper
29673091,4,Paper
29673128,10,Paper
29673129,10,Paper
29673195,7,Paper
29673203,10,Paper
29673317,7,Paper
29673320,6,Paper
29673350,1,Paper
29673528,5,Paper
29673565,7,Paper
29673595,1,Paper
29673596,1,Paper
29673597,1,Paper
29673643,5,Paper
29673644,5,Paper
29673651,1,Paper
29673654,7,Paper
29673662,5,Paper
29673681,3,Paper
29673707,1,Paper
29673708,1,Paper
29673709,1,Paper
29673752,1,Paper
29673756,7,Paper
29673866,7,Paper
29673882,1,Paper
29673885,7,Paper
29673890,3,Paper
29673900,5,Paper
29673902,5,Paper
29673907,7,Paper
29673919,5,Paper
29673930,3,Paper
29673950,5,Paper
29673957,7,Paper
29674042,9,Paper
29674043,9,Paper
29674057,9,Paper
29674078,9,Paper
29674084,2,Paper
29674124,4,Paper
29674125,4,Paper
29674162,10,Paper
29674171,10,Paper
29674239,7,Paper
29674289,1,Paper
29674364,10,Paper
29674365,10,Paper
29674444,10,Paper
29674615,9,Paper
29674653,5,Paper
29674663,1,Paper
29674666,3,Paper
29674673,5,Paper
29674683,6,Paper
29674684,5,Paper
29674698,3,Paper
29674699,3,Paper
29674751,2,Paper
29674942,8,Paper
29675045,1,Paper
29675078,6,Paper
29675173,10,Paper
29675311,10,Paper
29675315,10,Paper
29675461,4,Paper
29675480,8,Paper
29675689,8,Paper
29675695,8,Paper
29675696,8,Paper
29675697,8,Paper
29675698,8,Paper
29675700,8,Paper
29676057,8,Paper
29676058,8,Paper
29676086,3,Paper
29676149,1,Paper
29676156,5,Paper
29676303,1,Paper
29676310,8,Paper
29676311,8,Paper
29676312,8,Paper
29676313,8,Paper
29676314,8,Paper
29676315,8,Paper
29676316,8,Paper
29676317,8,Paper
29676368,8,Paper
29676369,8,Paper
29676370,8,Paper
29676371,8,Paper
29676372,8,Paper
29676373,8,Paper
29676431,4,Paper
29676720,5,Paper
29676773,5,Paper
29676907,1,Paper
29676932,3,Paper
29676990,6,Paper
29677012,9,Paper
29677013,9,Paper
29677014,9,Paper
29677024,9,Paper
29677127,10,Paper
29677202,5,Paper
29677221,3,Paper
29677240,10,Paper
29677294,6,Paper
29677299,3,Paper
29677447,6,Paper
29677471,2,Paper
29677472,2,Paper
29677473,2,Paper
29677474,2,Paper
29677479,3,Paper
29677488,6,Paper
29677510,5,Paper
29677515,7,Paper
29677551,8,Paper
29677566,2,Paper
29677607,4,Paper
29677750,5,Paper
29677753,7,Paper
29677759,2,Paper
29677761,2,Paper
29677762,2,Paper
29677768,3,Paper
29677785,4,Paper
29677903,6,Paper
29677906,5,Paper
29677915,7,Paper
29677917,3,Paper
29677923,5,Paper
29677926,5,Paper
29677931,7,Paper
29677935,5,Paper
29677936,5,Paper
29677939,2,Paper
29677940,2,Paper
29677941,2,Paper
29677948,3,Paper
29678049,5,Paper
29678054,2,Paper
29678055,2,Paper
29678056,2,Paper
29678128,6,Paper
29678129,6,Paper
29678142,3,Paper
29678155,7,Paper
29678176,3,Paper
29678177,3,Paper
29678267,8,Paper
29678268,8,Paper
29678269,8,Paper
29678314,8,Paper
29678330,3,Paper
29678406,3,Paper
29678410,4,Paper
29678411,4,Paper
29678412,4,Paper
29678413,4,Paper
29678414,4,Paper
29678415,4,Paper
29678416,4,Paper
29678444,6,Paper
29678451,2,Paper
29678538,10,Paper
29678715,6,Paper
29678721,6,Paper
29678729,5,Paper
29678731,6,Paper
29678762,5,Paper
29678763,7,Paper
29678764,7,Paper
29678779,3,Paper
29678780,3,Paper
29678781,3,Paper
29678930,5,Paper
29678934,2,Paper
29678935,2,Paper
29678940,3,Paper
29679089,4,Paper
29679090,4,Paper
29679091,4,Paper
29679092,4,Paper
29679093,4,Paper
29679094,4,Paper
29679129,5,Paper
29679295,2,Paper
29679297,6,Paper
29679298,6,Paper
29679366,4,Paper
29679367,4,Paper
29679368,4,Paper
29679584,9,Paper
29679589,7,Paper
29679602,9,Paper
29679672,8,Paper
29679796,4,Paper
29679806,8,Paper
29679807,8,Paper
29679808,8,Paper
29679949,2,Paper
29679962,10,Paper
29680116,4,Paper
29680136,2,Paper
29680317,10,Paper
29680336,5,Paper
29680356,6,Paper
29680358,5,Paper
29680402,5,Paper
29680408,2,Paper
29680409,2,Paper
29680410,2,Paper
29680411,2,Paper
29680446,4,Paper
29680804,10,Paper
29680815,6,Paper
29681077,10,Paper
29681091,6,Paper
29681092,3,Paper
29681097,6,Paper
29681123,5,Paper
29681131,6,Paper
29681132,6,Paper
29681579,9,Paper
29681747,4,Paper
29681748,4,Paper
29681749,4,Paper
29681750,4,Paper
29681751,4,Paper
29681831,2,Paper
29681901,4,Paper
29681902,4,Paper
29681905,4,Paper
29681906,1,Paper
29681928,6,Paper
29681932,6,Paper
29681959,7,Paper
29681984,3,Paper
29682059,10,Paper
29682062,10,Paper
29682063,10,Paper
29682271,8,Paper
29682289,8,Paper
29682439,7,Paper
29682473,6,Paper
29682475,6,Paper
29682685,2,Paper
29682796,5,Paper
29682861,10,Paper
29683288,5,Paper
29683289,5,Paper
29683305,3,Paper
29683339,1,Paper
29683348,3,Paper
29683356,5,Paper
29683357,5,Paper
29683372,5,Paper
29683375,2,Paper
29683376,2,Paper
29683377,2,Paper
29683378,2,Paper
29683421,5,Paper
29683450,7,Paper
29683464,3,Paper
29683465,3,Paper
29683508,8,Paper
29683509,8,Paper
29683510,8,Paper
29683676,7,Paper
29683677,2,Paper
29683678,2,Paper
29683747,10,Paper
29683761,6,Paper
29683805,9,Paper
29683836,9,Paper
29683837,9,Paper
29683876,7,Paper
29683882,7,Paper
29683883,8,Paper
29683909,7,Paper
29683918,10,Paper
29684022,5,Paper
29684023,5,Paper
29684038,3,Paper
29684039,3,Paper
29684176,6,Paper
29684178,7,Paper
29684180,7,Paper
29684184,7,Paper
29684211,3,Paper
29684213,6,Paper
29684220,6,Paper
29684223,6,Paper
29684271,8,Paper
29684300,9,Paper
29684302,4,Paper
29684314,9,Paper
29684323,7,Paper
29684377,8,Paper
29684502,4,Paper
29684554,9,Paper
29684992,10,Paper
29684993,10,Paper
29685016,7,Paper
29685070,9,Paper
29685071,9,Paper
29685154,1,Paper
29685197,9,Paper
29685200,2,Paper
